Time: 2023-12-04 14:05:26, Drone ID: 1, Battery Level: 49%
Time: 2023-12-04 14:05:26, Drone ID: 2, Battery Level: 85%
Time: 2023-12-04 14:05:26, Drone ID: 3, Battery Level: 86%
Time: 2023-12-04 14:05:26, Drone ID: 4, Battery Level: 56%
Time: 2023-12-04 14:05:26, Drone ID: 5, Battery Level: 56%
Time: 2023-12-04 14:05:26, Drone ID: 6, Battery Level: 28%
Time: 2023-12-04 14:05:26, Drone ID: 7, Battery Level: 53%
Time: 2023-12-04 14:05:26, Drone ID: 8, Battery Level: 66%
Time: 2023-12-04 14:05:26, Drone ID: 9, Battery Level: 38%
Time: 2023-12-04 14:05:26, Drone ID: 10, Battery Level: 81%
Time: 2023-12-04 14:06:25, Drone ID: 1, Battery Level: 49%
Time: 2023-12-04 14:06:25, Drone ID: 2, Battery Level: 85%
Time: 2023-12-04 14:06:25, Drone ID: 3, Battery Level: 86%
Time: 2023-12-04 14:06:25, Drone ID: 4, Battery Level: 56%
Time: 2023-12-04 14:06:26, Drone ID: 5, Battery Level: 56%
Time: 2023-12-04 14:06:26, Drone ID: 6, Battery Level: 28%
Time: 2023-12-04 14:06:26, Drone ID: 7, Battery Level: 53%
Time: 2023-12-04 14:06:26, Drone ID: 8, Battery Level: 66%
Time: 2023-12-04 14:06:26, Drone ID: 9, Battery Level: 38%
Time: 2023-12-04 14:06:26, Drone ID: 10, Battery Level: 81%
Time: 2023-12-04 14:07:25, Drone ID: 1, Battery Level: 49%
Time: 2023-12-04 14:07:25, Drone ID: 2, Battery Level: 85%
Time: 2023-12-04 14:07:25, Drone ID: 3, Battery Level: 86%
Time: 2023-12-04 14:07:25, Drone ID: 4, Battery Level: 56%
Time: 2023-12-04 14:07:26, Drone ID: 5, Battery Level: 56%
Time: 2023-12-04 14:07:26, Drone ID: 6, Battery Level: 28%
Time: 2023-12-04 14:07:26, Drone ID: 7, Battery Level: 53%
Time: 2023-12-04 14:07:26, Drone ID: 8, Battery Level: 66%
Time: 2023-12-04 14:07:26, Drone ID: 9, Battery Level: 38%
Time: 2023-12-04 14:07:26, Drone ID: 10, Battery Level: 81%
Time: 2023-12-04 14:08:25, Drone ID: 1, Battery Level: 49%
Time: 2023-12-04 14:08:25, Drone ID: 2, Battery Level: 85%
Time: 2023-12-04 14:08:25, Drone ID: 3, Battery Level: 86%
Time: 2023-12-04 14:08:25, Drone ID: 4, Battery Level: 56%
Time: 2023-12-04 14:08:26, Drone ID: 5, Battery Level: 56%
Time: 2023-12-04 14:08:26, Drone ID: 6, Battery Level: 28%
Time: 2023-12-04 14:08:26, Drone ID: 7, Battery Level: 53%
Time: 2023-12-04 14:08:26, Drone ID: 8, Battery Level: 66%
Time: 2023-12-04 14:08:26, Drone ID: 9, Battery Level: 38%
Time: 2023-12-04 14:08:26, Drone ID: 10, Battery Level: 81%
Time: 2023-12-04 14:09:25, Drone ID: 1, Battery Level: 49%
Time: 2023-12-04 14:09:25, Drone ID: 2, Battery Level: 85%
Time: 2023-12-04 14:09:25, Drone ID: 3, Battery Level: 86%
Time: 2023-12-04 14:09:26, Drone ID: 4, Battery Level: 56%
Time: 2023-12-04 14:09:26, Drone ID: 5, Battery Level: 56%
Time: 2023-12-04 14:09:26, Drone ID: 6, Battery Level: 28%
Time: 2023-12-04 14:09:26, Drone ID: 7, Battery Level: 53%
Time: 2023-12-04 14:09:26, Drone ID: 8, Battery Level: 66%
Time: 2023-12-04 14:09:26, Drone ID: 9, Battery Level: 38%
Time: 2023-12-04 14:09:26, Drone ID: 10, Battery Level: 81%
Time: 2023-12-04 14:10:25, Drone ID: 1, Battery Level: 49%
Time: 2023-12-04 14:10:25, Drone ID: 2, Battery Level: 85%
Time: 2023-12-04 14:10:25, Drone ID: 3, Battery Level: 86%
Time: 2023-12-04 14:10:25, Drone ID: 4, Battery Level: 56%
Time: 2023-12-04 14:10:26, Drone ID: 5, Battery Level: 56%
Time: 2023-12-04 14:10:26, Drone ID: 6, Battery Level: 28%
Time: 2023-12-04 14:10:26, Drone ID: 7, Battery Level: 53%
Time: 2023-12-04 14:10:26, Drone ID: 8, Battery Level: 66%
Time: 2023-12-04 14:10:26, Drone ID: 9, Battery Level: 38%
Time: 2023-12-04 14:10:26, Drone ID: 10, Battery Level: 81%
Time: 2023-12-04 14:11:25, Drone ID: 1, Battery Level: 49%
Time: 2023-12-04 14:11:25, Drone ID: 2, Battery Level: 85%
Time: 2023-12-04 14:11:25, Drone ID: 3, Battery Level: 86%
Time: 2023-12-04 14:11:25, Drone ID: 4, Battery Level: 56%
Time: 2023-12-04 14:11:26, Drone ID: 5, Battery Level: 56%
Time: 2023-12-04 14:11:26, Drone ID: 6, Battery Level: 28%
Time: 2023-12-04 14:11:26, Drone ID: 7, Battery Level: 53%
Time: 2023-12-04 14:11:26, Drone ID: 8, Battery Level: 66%
Time: 2023-12-04 14:11:26, Drone ID: 9, Battery Level: 38%
Time: 2023-12-04 14:11:26, Drone ID: 10, Battery Level: 81%
Time: 2023-12-04 14:12:25, Drone ID: 1, Battery Level: 49%
Time: 2023-12-04 14:12:25, Drone ID: 2, Battery Level: 85%
Time: 2023-12-04 14:12:25, Drone ID: 3, Battery Level: 86%
Time: 2023-12-04 14:12:26, Drone ID: 4, Battery Level: 56%
